               epoch,      v9train/box_loss,      v9train/cls_loss,      v9train/dfl_loss,      v9val/box_loss,        v9val/cls_loss,        v9val/dfl_loss,      g_ev_train/box_loss,      g_ev_train/cls_loss,      g_ev_train/dfl_loss,       g_ev_val/box_loss,        g_ev_val/cls_loss,        g_ev_val/dfl_loss,     ge_train/box_loss,      ge_train/cls_loss,      ge_train/dfl_loss,        ge_val/box_loss,        ge_val/cls_loss,        ge_val/dfl_loss
0,4.5043,5.9155,4.1499,4.7815,3.9606,4.0602,2.4608,4.4381,1.9356,2.1256,2.8089,2.0552,2.4608,4.4381,1.9356,2.3142,                 inf,4.8586
1,4.4505,4.7117,3.9804,4.3139,3.7492,3.7974,2.756,6.0106,2.3183,1.6276,2.5396,1.6575,2.756,6.0106,2.3183,0,                 nan,0
2,4.2176,4.1349,3.7231,3.8083,3.4163,3.5043,3.1177,9.3669,2.6695,1.8242,2.3207,1.8291,3.1177,9.3669,2.6695,0,                 nan,0
3,3.8639,3.9427,3.5898,3.7004,4.0704,3.5707,2.9507,6.2365,2.772,2.0317,3.2594,1.7432,2.9507,6.2365,2.772,                 nan,                 nan,                 nan
4,3.5454,3.8721,3.3134,2.7786,5.1097,2.9724,2.6405,4.0837,2.4345,1.8143,3.1982,1.8299,2.6405,4.0837,2.4345,                 nan,                 nan,                 nan
5,3.114,3.6097,2.9385,3.6509,5.2525,3.542,2.4823,2.8982,2.1249,2.4403,4.0652,2.2228,2.4823,2.8982,2.1249,                 nan,                 nan,                 nan
6,2.8709,3.2744,2.5688,4.0849,4.7146,3.7631,2.3592,2.7506,1.9917,2.2388,2.938,1.9311,2.3592,2.7506,1.9917,2.2525,12.901,2.6428
7,2.6218,3.0422,2.2643,2.1886,5.2832,2.1535,2.291,2.4087,1.9496,2.3046,3.5851,1.7357,2.291,2.4087,1.9496,1.8536,5.3073,1.9397
8,2.5071,3.0252,2.2033,2.2644,4.1198,2.1709,2.1282,2.1923,1.8261,1.7324,2.262,1.7338,2.1282,2.1923,1.8261,1.6962,2.4159,1.7918
9,2.4235,2.897,2.0629,3.0639,4.5213,3.2747,2.093,2.1017,1.7845,1.7121,1.9652,1.7083,2.093,2.1017,1.7845,1.7434,2.0035,1.8184
10,2.3135,2.8225,1.9295,2.0925,2.7159,1.9959,2.0311,1.96,1.7302,1.7848,2.3825,1.7819,2.0311,1.96,1.7302,1.8161,3.5004,1.8468
11,2.2945,2.738,1.9675,1.9162,2.574,1.8862,2.0097,1.9351,1.7344,1.6861,1.7193,1.5685,2.0097,1.9351,1.7344,1.6865,2.7849,1.7411
12,2.256,2.7173,1.9127,1.9377,2.4498,1.9088,1.9122,1.8298,1.6561,1.7965,1.7915,1.7205,1.9122,1.8298,1.6561,1.6271,2.0635,1.7025
13,2.1923,2.6091,1.8669,1.9116,2.7692,1.9415,1.9451,1.7819,1.6478,1.6425,1.6383,1.6211,1.9451,1.7819,1.6478,1.7147,1.9164,1.7348
14,2.1801,2.5622,1.8242,1.9863,2.6692,1.9609,1.9094,1.7878,1.6083,1.6833,1.8722,1.6444,1.9094,1.7878,1.6083,1.7264,2.1007,1.7786
15,2.1168,2.4876,1.8264,1.8244,2.3661,1.8415,1.8925,1.7836,1.6324,1.5903,1.6708,1.5613,1.8925,1.7836,1.6324,1.7436,2.0939,1.7822
16,2.1094,2.4616,1.7671,1.7864,2.3754,1.8137,1.8659,1.7091,1.6195,1.9518,1.8086,1.7592,1.8659,1.7091,1.6195,1.7046,1.701,1.7348
17,2.0727,2.3195,1.7512,1.8252,2.2127,1.8358,1.8526,1.7398,1.5811,1.8593,2.1939,1.715,1.8526,1.7398,1.5811,1.6302,2.0017,1.6635
18,1.9918,2.2252,1.7356,1.8528,2.2196,1.824,1.8607,1.6708,1.5841,1.5871,1.5332,1.5548,1.8607,1.6708,1.5841,1.6942,1.6778,1.6927
19,2.0723,2.2319,1.7389,1.7856,1.895,1.7625,1.819,1.7097,1.604,1.7216,1.6184,1.6306,1.819,1.7097,1.604,1.6821,1.6429,1.7068
20,1.9437,2.0722,1.6878,1.8102,2.567,1.8433,1.7577,1.6369,1.534,1.7272,1.5243,1.6511,1.7577,1.6369,1.534,1.6006,1.5427,1.6452
21,1.9686,2.109,1.6893,1.7584,2.062,1.7642,1.7857,1.6218,1.557,1.7359,1.6352,1.6521,1.7857,1.6218,1.557,1.6854,1.511,1.7102
22,1.905,2.0893,1.6594,2.1751,3.2491,2.0497,1.803,1.6353,1.5762,1.6869,1.442,1.5603,1.803,1.6353,1.5762,1.6392,1.4963,1.6553
23,1.9244,2.0053,1.645,1.8866,1.9009,1.8007,1.7255,1.5402,1.4914,1.742,1.6091,1.6761,1.7255,1.5402,1.4914,1.7004,1.4283,1.6923
24,1.9313,1.9363,1.6534,1.7108,1.8741,1.6973,1.7681,1.4711,1.5025,1.6823,1.2618,1.6168,1.7681,1.4711,1.5025,1.6899,1.4208,1.6935
25,1.9007,1.9671,1.6266,1.7272,1.9552,1.7104,1.7752,1.5543,1.5461,1.725,1.6155,1.6469,1.7752,1.5543,1.5461,1.6034,1.6509,1.655
26,1.9052,1.9322,1.6347,1.7519,1.7976,1.692,1.7347,1.5263,1.5101,1.7725,1.6227,1.6757,1.7347,1.5263,1.5101,1.6237,1.4555,1.6467
27,1.8866,1.8425,1.5625,1.7592,1.7818,1.7249,1.6801,1.4378,1.4596,1.7853,1.4596,1.6824,1.6801,1.4378,1.4596,1.5681,1.4908,1.6133
28,1.8534,1.797,1.585,1.6681,1.8728,1.6852,1.6838,1.488,1.4844,1.7041,1.2838,1.6679,1.6838,1.488,1.4844,1.6596,1.4877,1.6821
29,1.8447,1.8058,1.5918,1.62,1.5568,1.6307,1.7132,1.5144,1.5296,1.6444,1.3446,1.577,1.7132,1.5144,1.5296,1.5877,1.4443,1.6357
30,1.826,1.766,1.5524,1.5987,1.608,1.6093,1.6772,1.4791,1.4881,1.6689,1.2693,1.6163,1.6772,1.4791,1.4881,1.6335,1.3793,1.6796
31,1.7929,1.7624,1.5213,1.6427,1.518,1.6363,1.693,1.4348,1.5018,1.7193,1.2615,1.6334,1.693,1.4348,1.5018,1.6014,1.3837,1.6504
32,1.8059,1.7574,1.5835,1.8549,1.9578,1.8117,1.6541,1.4056,1.4549,2.0167,1.9612,1.8503,1.6541,1.4056,1.4549,1.6788,1.3877,1.6695
33,1.7627,1.7114,1.504,1.6312,1.6296,1.6266,1.6369,1.4108,1.4642,1.6516,1.3931,1.5906,1.6369,1.4108,1.4642,1.6778,1.3659,1.6932
34,1.81,1.7689,1.5607,1.7182,1.5251,1.6888,1.6694,1.3927,1.4838,1.6041,1.2467,1.5667,1.6694,1.3927,1.4838,1.6685,1.3711,1.6908
35,1.7845,1.7063,1.5665,1.6763,1.7935,1.7052,1.6567,1.4244,1.5033,1.74,1.4914,1.6681,1.6567,1.4244,1.5033,1.6612,1.2874,1.6711
36,1.784,1.7276,1.4994,1.9438,2.6784,1.9376,1.6507,1.3754,1.4919,1.6363,1.1604,1.5485,1.6507,1.3754,1.4919,1.727,1.3099,1.7028
37,1.7497,1.6643,1.4768,1.615,1.8348,1.6768,1.6649,1.3294,1.4401,1.7758,1.2632,1.6361,1.6649,1.3294,1.4401,1.6859,1.2793,1.6978
38,1.7317,1.593,1.4961,1.6132,1.4497,1.6142,1.6436,1.3503,1.4717,1.6077,1.1938,1.5429,1.6436,1.3503,1.4717,1.6937,1.3179,1.6899
39,1.7202,1.6011,1.4808,1.6073,1.5278,1.6138,1.6175,1.3162,1.4376,1.6016,1.1825,1.535,1.6175,1.3162,1.4376,1.7548,1.3131,1.7335
40,1.7033,1.6085,1.4785,1.6198,1.3868,1.617,1.5977,1.2742,1.3952,1.6321,1.1373,1.5813,1.5977,1.2742,1.3952,1.7097,1.2605,1.7227
41,1.6857,1.55,1.5039,1.5802,1.5238,1.6117,1.5976,1.2885,1.405,1.594,1.1317,1.5491,1.5976,1.2885,1.405,1.6574,1.2554,1.7023
42,1.7255,1.5522,1.4784,1.6565,1.322,1.6594,1.5824,1.2639,1.404,1.8482,1.7667,1.6804,1.5824,1.2639,1.404,1.7179,1.2789,1.7246
43,1.7015,1.5276,1.4926,1.6344,1.3113,1.6393,1.5586,1.2227,1.3902,1.7675,1.5681,1.6459,1.5586,1.2227,1.3902,1.6806,1.3174,1.6939
44,1.6822,1.5068,1.4571,1.6136,1.3316,1.6148,1.5851,1.27,1.432,1.6644,1.2665,1.5932,1.5851,1.27,1.432,1.7114,1.2559,1.7376
45,1.7086,1.5432,1.4935,1.5854,1.2662,1.6025,1.568,1.2348,1.3946,1.6279,1.081,1.5576,1.568,1.2348,1.3946,1.6625,1.2704,1.6703
46,1.6692,1.5301,1.4755,1.6662,1.418,1.6469,1.551,1.2348,1.404,1.5896,1.0441,1.5796,1.551,1.2348,1.404,1.7072,1.161,1.7277
47,1.6996,1.4959,1.4853,1.6271,1.4718,1.6209,1.5726,1.2472,1.4323,1.557,1.089,1.5208,1.5726,1.2472,1.4323,1.741,1.2464,1.6997
48,1.6287,1.4161,1.3906,1.661,1.2972,1.6366,1.5723,1.2845,1.4254,1.6776,1.1811,1.5894,1.5723,1.2845,1.4254,1.6768,1.2965,1.6705
49,1.6544,1.4502,1.4785,1.6301,1.4064,1.6315,1.5278,1.1518,1.3789,1.6193,1.1275,1.5635,1.5278,1.1518,1.3789,1.7227,1.2547,1.7067
50,1.6186,1.4425,1.4374,1.6257,1.2866,1.6099,1.5142,1.1566,1.3458,1.6072,1.0555,1.5564,1.5142,1.1566,1.3458,1.7177,1.175,1.7482
51,1.6001,1.3866,1.4356,1.6138,1.2294,1.5966,1.5508,1.1826,1.4215,1.5954,1.1376,1.58,1.5508,1.1826,1.4215,1.6566,1.2426,1.6917
52,1.6352,1.3913,1.4393,1.6106,1.235,1.6157,1.5237,1.1746,1.3875,1.6374,1.0831,1.601,1.5237,1.1746,1.3875,1.6418,1.2092,1.6769
53,1.5979,1.3786,1.4147,1.5726,1.2059,1.6032,1.4918,1.1764,1.3783,1.6514,1.0193,1.5827,1.4918,1.1764,1.3783,1.6795,1.265,1.6958
54,1.5708,1.343,1.3931,1.6074,1.2176,1.6275,1.5207,1.1989,1.3668,1.686,1.1902,1.6241,1.5207,1.1989,1.3668,1.6515,1.2242,1.6703
55,1.5593,1.3464,1.4192,1.6155,1.219,1.6287,1.4648,1.125,1.3817,1.6855,1.0597,1.6462,1.4648,1.125,1.3817,1.7045,1.1843,1.7041
56,1.6353,1.3569,1.4235,1.6081,1.1879,1.6231,1.4686,1.1052,1.3242,1.6893,1.2531,1.6182,1.4686,1.1052,1.3242,1.684,1.1709,1.694
57,1.5814,1.329,1.4339,1.5688,1.1882,1.6006,1.5084,1.1179,1.3658,1.5987,1.0026,1.5723,1.5084,1.1179,1.3658,1.6736,1.1368,1.6822
58,1.527,1.3222,1.3763,1.5871,1.2609,1.6077,1.4757,1.0916,1.3552,1.6425,0.98401,1.6144,1.4757,1.0916,1.3552,1.6551,1.1564,1.6898
59,1.55,1.3266,1.38,1.6114,1.1668,1.6278,1.4661,1.1014,1.3809,1.6205,0.97827,1.5626,1.4661,1.1014,1.3809,1.6782,1.2098,1.6907
